job_cluster,skills_filtered,job_level,job_title
Problem Solving,[],Mid senior,"Information Technology Risk and Compliance Analyst - Hermitage , PA"
Financial Analysis,"['finance', 'accounting', 'leadership', 'management', 'technology', 'analytical skills', 'strategic planning', 'communication', 'financial analysis', 'contract negotiations', 'financial planning', 'budget management', 'financial reporting', 'risk management', 'forecasting', 'excel', 'detail oriented', 'us work authorization']",Mid senior,Finance Manager
Customer Service & Sales,"['communication verbal and written', 'teamwork', 'problem solving', 'coaching', 'customer service', 'sales', 'leadership', 'multitasking', 'meeting deadlines', 'consumer lending', 'sales', 'communication', 'word', 'excel']",Mid senior,FINANCIAL CENTER MANAGER II
Financial Analysis,"['monthend close', 'income statement', 'financial analysis', 'kpi analysis', 'projections', 'forecasts', 'budget development', 'budget tracking', 'process improvement', 'accounts receivable ar', 'accounts payable ap', 'accounting degree', 'finance degree', 'cpa designation', 'construction industry', 'excel', 'power bi', 'analytical skills', 'problem solving', 'communication', 'communication', 'crossfunctional collaboration']",Mid senior,Assistant Controller
Leadership,"['commercial underwriting', 'risk assessment', 'commercial underwriting', 'analytical skills', 'decision making', 'leadership', 'market trends', 'communication', 'negotiation', 'organization', 'team leadership', 'base salary', 'modeling']",Mid senior,Commercial Property Insurance Underwriter
Financial Reporting,"['finance', 'accounting', 'manufacturing', 'supply chain management', 'erp', 'internal control', 'cost analysis', 'variance analysis', 'financial reporting', 'forecasting', 'inventory management', 'budgeting', 'analytical skills', 'communication', 'communication', 'collaboration', 'teamwork', 'problem solving', 'decision making', 'leadership', 'analytical skills']",Associate,Sr. Supply Manufacturing Finance Analyst
Collaboration,"['financial advising', 'client relationships', 'investment recommendations', 'marketing', 'networking', 'sales', 'communication', 'time management', 'goal setting', 'collaboration', 'regulatory due diligence', 'lead generation', 'investment management', 'computer', 'multitasking', 'professional designations cfp crpc']",Mid senior,Merrill Financial Solutions Advisor - Morristown Short Hills Market
Customer Service & Sales,"['communication', 'english language', 'analytical skills', 'customer service', 'investment', 'mortgage financing', 'estate planning']",Mid senior,Banking advisor
Risk & Compliance,"['performance management', 'portfolio management', 'governance', 'transparency', 'resource allocation', 'quarterly reviews', 'budgeting and forecasting', 'portfolio management', 'willingness to travel']",Mid senior,Senior Enterprise Planning & Portfolio Managment Director
Financial Analysis,"['asset management', 'talent management']",Mid senior,Graduate Programme and Recruitment Manager - Asset Management
MS Office,"['accounting', 'financial operations', 'excel', 'word', 'budget development', 'financial reports', 'report writing', 'grant accounting', 'fund accounting', 'attention to detail', 'adaptability', 'problem solving']",Mid senior,Part Time Staff Accountant
Accounting,"['financial statements', 'us gaap', 'fund administration', 'bachelors in accounting', 'investran', 'fund accounting', 'cpa', 'fund administration']",Mid senior,Senior Fund Accountant
Attention to Detail,"['underwriting', 'business acumen', 'planning', 'time management', 'attention to detail', 'decision making', 'people', 'communication', 'property', 'liability']",Mid senior,Senior Underwriter - Commercial Lines
Communication,"['communication', 'sales', 'financial products and services', 'determination', 'commitment', 'entrepreneurship', 'finra series 7 66 registrations', 'wealth management', 'investment solutions']",Mid senior,Financial Advisor
Accounting Operations,"['financial statements', 'general ledger', 'inventory analysis', 'monthend close', 'project accounting', 'sales tax returns', 'forecasting', 'accounts payable', 'accounts receivable', 'financial analysis', 'reporting', 'gaap', 'manufacturing processes', 'word']",Mid senior,Senior Accountant - Manufacturing
Attention to Detail,"['project management', 'technical support', 'administration', 'coordination', 'data entry', 'data management', 'document management', 'communication', 'teamwork', 'problem solving', 'time management', 'attention to detail', 'accuracy', 'reliability', 'flexibility', 'ability to work independently and as part of a team', 'ability to work under pressure', 'ability to meet deadlines', 'ability to travel']",Mid senior,Business Systems Controller (Document Controller)
Collaboration,"['financial management', 'strategic planning', 'budgeting', 'data analytics', 'relationship building', 'communication', 'collaboration', 'problem solving', 'decision making', 'leadership', 'team building', 'conflict resolution', 'change management', 'innovation', 'creativity', 'capital planning', 'facilities management', 'construction', 'benchmarking', 'assessment', 'ethics', 'integrity', 'transparency', 'humility', 'higher education', 'diversity', 'inclusion', 'research administration']",Mid senior,"Senior Associate Dean for Strategy, Finance and Planning"
Collaboration,['effective communication'],Mid senior,2024 MLB Gameday Compliance Monitor (Seasonal)
Risk & Compliance,"['cisa', 'cissp', 'crisc', 'it general controls', 'it systems', 'business processes', 'risk management']",Mid senior,IT Risk & Control Specialist
Financial Reporting,"['accounting', 'finance', 'financial reporting', 'gaap', 'sox', 'critical thinking', 'data analysis', 'documentation', 'time management', 'organization', 'issue resolution', 'root cause analysis', 'communication', 'microsoft office', 'quickbooks']",Mid senior,Accountant II
Multitasking,"['resware', 'outlook', 'excel', 'word', 'adobe pdf', 'mortgage closing documents', 'attention to detail', 'time management', 'multitasking', 'teamwork', 'fastpaced environment', 'computer', 'internet', 'general office environment', 'business degree']",Mid senior,Post-closing Auditor
Leadership,"['leadership', 'financial planning', 'savings', 'investments', 'military', 'communication', 'coaching', 'networking', 'sales']",Mid senior,Financial Advisor
Project Management,"['risk management', 'compliance management', 'environmental management', 'contract management', 'property management', 'facilities management', 'project management', 'financial management', 'business management', 'business planning', 'financial', 'team player', 'organization', 'regulation', 'communication', 'technical writing', 'report writing', 'microsoft office', 'safety', 'diversity', 'inclusion', 'innovation', 'sustainability']",Mid senior,Risk & Compliance Manager
Risk & Compliance,"['nist', 'cobit', 'it auditing', 'it governance', 'policy development', 'cybersecurity', 'grc', 'risk management', 'compliance', 'dod', 'security clearance', 'pto']",Mid senior,Senior IT Risk and Compliance Analyst - (IT Audit / NIST / COBIT / FedRAMP)
Financial Analysis,"['accounting', 'budgeting', 'forecasting', 'financial analysis', 'account reconciliation', 'account analysis', 'accounts payable', 'accounts receivable', 'financial reporting', 'financial policies and procedures', 'procore', 'sage', 'quickbooks']",Mid senior,Construction Controller
Data Analysis,"['quantitative finance', 'antimoney laundering aml', 'machine learning', 'ai', 'python', 'sql', 'hadoop', 'statistics', 'economics', 'math', 'sas', 'matlab', 'jira']",Mid senior,"Senior Quantitative Finance Analyst, AML Model Development"
Finance & Economics,"['internal audit', 'audit manager', 'audit engagements', 'continuous monitoring', 'risk assessment', 'audit reports', 'audit testing', 'corrective action', 'mentoring', 'risk profiles', 'business', 'finance', 'accounting', 'information technology', 'cia', 'coso', 'strategic initiatives', 'benefits', 'wellness programs', 'continuing education', 'equal opportunity employer']",Mid senior,Audit Manager - Enterprise Risk
Data Analysis,"['advanced excel', 'analytical skills', 'financial', 'problem solving', 'data analysis', 'crossfunctional collaboration', 'communication', 'team player']",Associate,Cost Accountant
Multitasking,"['financial modeling', 'excel', 'powerpoint', 'communication', 'multitasking', 'fastpaced environment', 'mergers and acquisitions', 'private placements', 'restructuring']",Mid senior,Investment Banking Analyst - Energy & Power (Renewables)
Customer Service & Sales,"['safety', 'quality control', 'quality assurance', 'microsoft office', 'communication', 'time management', 'leadership', 'teamwork', 'problem solving', 'customer service']",Mid senior,Supervisor Compliance Support – Health Care Service Lines
Business Development,"['financial planning', 'investment management', 'banking', 'generosity programs', 'client relations', 'sales', 'training and development', 'finra sie', 'selfmotivated', 'independent', 'strong interpersonal', 'membership programs', 'awardwinning workshops', 'equal employment opportunity eeo']",Mid senior,Financial Advisor - Greater Seattle/Bellevue Area
MS Office,"['credit risk management', 'business analysis', 'analytical skills', 'statistics', 'presentation', 'project management', 'team leadership', 'talent development', 'data manipulation', 'data analytics', 'data visualization', 'sas', 'sql', 'c', 'python', 'r', 'excel', 'word', 'powerpoint', 'communication', 'organization', 'time management', 'finance', 'economics', 'mathematics', 'statistics']",Mid senior,"Sr Manager, Credit Risk Management"
Leadership,"['leadership', 'negotiations', 'reporting', 'finance', 'client management', 'leadership', 'communication', 'organization', 'entrepreneurship', 'business acumen', 'diversity']",Mid senior,Investment Manager
