job_cluster,skills_filtered,job_level,job_title
Retail Operations,"['guest service', 'sales', 'trade', 'inventory control', 'loss prevention', 'merchandising', 'high school diploma', 'retail', 'communication', 'listening', 'bilingual englishspanish', 'fastpaced environment', 'team work', 'attendance', 'safety', 'alphabetizing', 'lifting', 'standing', 'moving', 'flexible schedule', 'weekends', 'holidays', 'reliability', 'trustworthiness', 'health benefits', 'paid time off', 'employee discount', 'bonus']",Associate,Guest Advisor (Store 6949)
Retail Operations,"['customer service', 'retail', 'sales', 'multitasking', 'communication', 'high school diploma', 'optical', 'housekeeping']",Mid senior,Sales Consultant
Business Development & Customer Acquisition,"['financial planning', 'wealth management', 'investment strategies', 'client relationship management', 'sales', 'marketing', 'communication', 'presentation', 'time management', 'organization', 'licensing and registrations', 'networking', 'listening', 'problem solving']",Mid senior,Financial Advisor Associate
Problem Solving,"['clinical psychology', 'case management', 'interdisciplinary collaboration', 'workers compensation', 'insurance', 'healthcare', 'problem solving', 'vacation']",Mid senior,Senior Psychology Advisor - Registered Psychologist
Analytical Thinking,"['data analysis', 'sql', 'microsoft office', 'technical writing', 'presentation', 'communication', 'analytical skills', 'teamwork', 'problem solving', 'initiative', 'attention to detail', 'quality control', 'time management', 'sql', 'statistics', 'programming', 'engineering', 'statistics', 'information systems']",Mid senior,Consultant - TN
Collaboration,['bcba certification'],Mid senior,Behavioral Consultant - ABA
Collaboration,"['user experience design', 'prototyping', 'storytelling', 'design thinking', 'data visualization', 'psychology', 'research', 'analysis', 'communication', 'collaboration', 'mentoring', 'leadership', 'digital marketing']",Associate,"Sr. Consultant, User Experience Design"
Attention to Detail,"['customer service', 'communication', 'physical stamina', 'attention to detail', 'problem solving', 'teamwork', 'computer literacy', 'repair order management', 'technical writing', 'time management', 'multitasking', 'prioritization', 'communication', 'conflict resolution', 'active listening', 'communication', 'communication', 'professionalism', 'ability to work independently', 'ability to work in a team environment', 'ability to meet deadlines', 'ability to work under pressure', 'ability to learn new things quickly']",Mid senior,Service Advisor
Retail Operations,"['guest service', 'sales', 'pos system', 'merchandising', 'inventory control', 'loss prevention', 'communication', 'teamwork', 'problem solving', 'retail', 'management', 'english', 'spanish', 'math', 'alphabetizing', 'flexibility', 'customer service', 'retail operations', 'inventory management', 'salesmanship']",Associate,Senior Guest Advisor (Store 6966)
Data & Analytics,"['data analysis', 'sql', 'data analytics', 'data representation', 'analytics', 'data mining', 'data science', 'analytical skills', 'data visualization', 'databases', 'business analysis', 'business intelligence bi', 'machine learning', 'statistics', 'r', 'python', 'tableau', 'microsoft sql server', 'java', 'microsoft power bi']",Associate,"Lead Data Analyst – Marketing Strategy & Analytics (Bangkok-based, relocation provided)"
Retail & Service,"['automotive service', 'customer service', 'cv']",Mid senior,"Service Advisor in Canterbury, UK"
Retail Operations,"['hipaa', 'pos system', 'fashion trends', 'problem solving', 'cash register', 'calculators', 'customer service', 'retail', 'optical', 'communication', 'sales']",Mid senior,LensCrafters - EyeCare Advisor
Data & Analytics,"['business analyst', 'business intelligence', 'data warehousing', 'data modeling', 'sql', 'reporting', 'technical documentation', 'roi analysis', 'prioritization', 'data validation', 'stakeholder management', 'communication', 'data analysis']",Mid senior,Business Analyst(Hybrid)
MS Office,"['customer service', 'sales', 'retail', 'leasing', 'apartment leasing', 'microsoft word', 'outlook', 'excel', 'social media', 'yardi', 'blue moon', 'onesite', 'mri', 'english', 'spanish']",Mid senior,Bilingual Apartment Leasing Consultant
Negotiation,"['customer service', 'sales', 'retail', 'communication', 'negotiation', 'problem solving', 'adaptability', 'ability to learn', 'verizon products and services', 'reliable transportation']",Mid senior,Verizon Sales Consultant
Negotiation,"['customer service', 'sales', 'communication', 'negotiation', 'communication', 'problem solving', 'selfmotivation', 'technology', 'retail', 'active listening', 'product recommendations']",Mid senior,Verizon Sales Consultant
Project Management,"['project management', 'digital solutions', 'customization', 'optimization', 'methodologies', 'kinaxis', 'kinaxis rapid response', 'business requirements', 'fitgap analysis', 'unit testing', 'uat', 'documentation', 'inventory planning', 'planning horizons', 'computer science', 'it', 'computer engineering', 'mis', 'mathematics', 'consulting', 'flexibility', 'travel', 'drivers license', 'leadership', 'trend analysis', 'digital transformation', 'continuous learning', 'transformative leadership', 'diverse and inclusive culture']",Mid senior,Supply Chain Tech - Kinaxis Planning - Senior- US Consulting
Negotiation,"['sales', 'communication', 'time management', 'teamwork', 'problem solving', 'microsoft office', 'customer service', 'negotiation']",Mid senior,Sales Consultant - Boise
MS Office,"['sales', 'customer service', 'sales process', 'business relationships', 'networking', 'communication', 'excel', 'word', 'outlook', 'lifting', 'communication', 'communication']",Associate,B&K Showroom Sales Consultant
Retail & Service,"['sales', 'customer service', 'communication', 'listening', 'energy', 'passion']",Mid senior,Sales consultant (full-time)
Problem Solving,"['wireless sales', 'customer service', 'sales', 'communication', 'coaching', 'problem solving', 'planning', 'organization', 'prioritization', 'technology', 'curiosity', 'approachability', 'passion']",Mid senior,"Wireless Sales Consultant - (Part-time) Mississauga Store 227, Argentia Rd"
Time Management,"['medicare advantage', 'salesforce', 'zoom', 'microsoft products', 'entrepreneurial spirit', 'selfstarter', 'time management', 'organization', 'community outreach', 'marketing']",Mid senior,Medicare Advisor
Business Development & Customer Acquisition,"['project management', 'client interaction', 'networking', 'consultative approach', 'client relationships', 'customer support', 'communication', 'expertise', 'knowledge', 'strategic vision', 'value proposition', 'business relationships', 'bachelors degree', 'networking', 'communication', 'research', 'detailoriented', 'presentation', 'autocad', 'revit', 'strong communication', 'planning', 'organization']",Mid senior,Workplace Consultant - Business Development
Retail Operations,"['customer service', 'communication', 'problem solving', 'sales', 'math', 'organization', 'cash register operation', 'computer operation', 'hipaa compliance', 'appointment scheduling', 'inventory management', 'retail', 'communication']",Mid senior,LensCrafters - EyeCare Advisor
Attention to Detail,"['customer service', 'warranty claims', 'supervision', 'time management', 'communication', 'problem solving', 'organization', 'multitasking', 'attention to detail', 'teamwork', 'selfmotivation', 'drivers license', 'drug test', 'background check']",Mid senior,Service Advisor- Bluebonnet Ford
Retail Operations,"['customer service', 'sales', 'retail', 'pos systems', 'inventory control', 'loss prevention', 'cash handling', 'bank deposits', 'merchandising', 'leadership', 'communication', 'problem solving', 'teamwork', 'physical stamina', 'attention to detail', 'accuracy', 'reliability', 'flexibility', 'stress management', 'bilingual englishspanish']",Associate,Senior Guest Advisor (Store 0612)
Retail Operations,"['design', 'retail', 'interior design', 'client service', 'communication', 'sales', 'microsoft office', 'google applications', 'physical requirements', 'collaborative', 'resultsoriented', 'art', 'architecture']",Associate,Interior Design Consultant
Collaboration,"['property casualty insurance', 'life insurance', 'embedded insurance', 'product development lifecycle', 'product management', 'product strategy', 'okrs', 'stakeholder engagement', 'product demos', 'presales', 'marketing', 'communication', 'team management', 'performance reporting', 'relationship management', 'time management', 'flexibility', 'problem solving', 'collaboration', 'analytical skills', 'attention to detail', 'communication', 'leadership', 'creativity', 'innovation', 'selfmotivation', 'decisiveness', 'ability to work under pressure', 'willingness to travel', 'bsba degree']",Mid senior,Head of Product - Insurance - Senior Manager - Products & Platforms - Consulting
Business Development & Customer Acquisition,"['finance', 'wealth planning', 'investment strategies', 'client acquisition', 'wealth management', 'financial planning', 'licensing and registrations', 'securities industry essential sie exam', 'series 7 and 66 licensing exams', 'financial planning specialist fps program', 'bachelors degree in business finance sales marketing or related field', 'communication', 'presentation', 'time management', 'organization', 'networking', 'listening', 'financial solutions', 'background check', 'preemployment assessments']",Mid senior,Financial Advisor Associate
Project Management,"['problem resolution', 'report writing', 'project management', 'cost estimation', 'safety compliance', 'building science', 'engineering', 'architecture', 'construction management', 'project leadership', 'proposal development', 'client acquisition', 'training']",Mid senior,Building Enclosure Consultant
